time,x,y,z,yaw,pitch,roll
0,1.66,-72.9013,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
0.02,1.66,-72.5437,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.04,1.66,-72.1861,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.06,1.66,-71.8284,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.08,1.66,-71.4708,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.1,1.66,-71.1132,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.12,1.66,-70.7555,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.14,1.66,-70.3979,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
0.16,1.66,-70.0403,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.18,1.66,-69.6826,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.2,1.66,-69.325,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.22,1.66,-68.9674,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.24,1.66,-68.6097,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.26,1.66,-68.2521,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.28,1.66,-67.8945,1.46025e-08,1.5708,2.25087e-14,1.09838e-08
0.3,1.66,-67.5369,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.32,1.66,-67.1792,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.34,1.66,-66.8216,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.36,1.66,-66.464,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.38,1.66,-66.1063,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.4,1.66,-65.7487,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.42,1.66,-65.3911,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.44,1.66,-65.0334,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.46,1.66,-64.6758,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.48,1.66,-64.3182,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.5,1.66,-63.9605,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.52,1.66,-63.6029,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.54,1.66,-63.2453,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.56,1.66,-62.8876,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.58,1.66,-62.53,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
0.6,1.66,-62.1724,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.62,1.66,-61.8147,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.64,1.66,-61.4571,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.66,1.66,-61.0995,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.68,1.66,-60.7418,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.7,1.66,-60.3842,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.72,1.66,-60.0266,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.74,1.66,-59.6689,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.76,1.66,-59.3113,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.78,1.66,-58.9537,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.8,1.66,-58.5961,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.82,1.66,-58.2384,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.84,1.66,-57.8808,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.86,1.66,-57.5232,2.98023e-08,1.5708,7.11375e-23,5.12852e-23
0.88,1.66,-57.1655,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.9,1.66,-56.8079,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.92,1.66,-56.4503,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.94,1.66,-56.0926,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.96,1.66,-55.735,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.98,1.66,-55.3774,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1,1.66,-55.0197,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
1.02,1.66,-54.6621,1.49012e-08,1.5708,2.62728e-08,-2.30859e-15
1.04,1.66,-54.3045,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
1.06,1.66,-53.9468,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
1.08,1.66,-53.5892,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
1.1,1.66,-53.2316,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
1.12,1.66,-52.8739,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
1.14,1.66,-52.5163,1.46025e-08,1.5708,2.25087e-14,1.09838e-08
1.16,1.66,-52.1587,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.18,1.66,-51.801,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.2,1.66,-51.4434,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.22,1.66,-51.0858,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.24,1.66,-50.7281,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.26,1.66,-50.3705,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.28,1.66,-50.0129,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.3,1.66,-49.6553,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
1.32,1.66,-49.2976,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.34,1.66,-48.94,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.36,1.66,-48.5824,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.38,1.66,-48.2247,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.4,1.66,-47.8671,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.42,1.66,-47.5095,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
1.44,1.66,-47.1518,2.25011e-08,1.5708,1.31364e-08,-5.49187e-09
1.46,1.66,-46.7942,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
