time,x,y,z,yaw,pitch,roll
0,-52.8812,-2.13,0,0,-0,0
0.18,-49.6625,-2.13,0,0,-0,0
0.36,-46.4438,-2.13,0,0,-0,0
0.54,-43.2252,-2.13,0,0,-0,0
0.72,-40.0065,-2.13,0,0,-0,0
0.9,-36.7878,-2.13,0,0,-0,0
1.08,-33.5691,-2.13,0,0,-0,0
1.26,-30.3504,-2.13,0,0,-0,0
1.44,-27.1317,-2.13,0,0,-0,0
1.62,-23.913,-2.13,0,0,-0,0
1.8,-20.6943,-2.13,0,0,-0,0
1.98,-17.4757,-2.13,7.71667e-09,0,-1.06437e-08,5.32184e-09
2.16,-14.257,-2.13,7.18449e-09,0,-1.06437e-08,-5.32184e-09
2.34,-11.0383,-2.13,7.71667e-09,0,-1.06437e-08,5.32184e-09
2.52,-7.81959,-2.13323,1.54333e-08,-0.000973409,4.95129e-23,1.06437e-08
2.7,-4.60094,-2.14685,2.98023e-08,-0.00391267,-4.92421e-24,9.94551e-24
2.88,-1.38232,-2.16829,2.98023e-08,-0.00606612,-3.30866e-24,2.0071e-26
3.06,1.8363,-2.18917,1.4369e-08,-0.00653513,-1.87537e-23,-1.06437e-08
3.24,5.05498,-2.19633,0,-0.00332766,0,0
3.42,8.27362,-2.18475,7.71667e-09,0.00198526,-1.06437e-08,5.32184e-09
3.6,11.4922,-2.15943,7.18449e-09,0.0111014,1.06437e-08,-5.32184e-09
3.78,14.7107,-2.12365,0,0.0111101,-0,0
3.96,17.9292,-2.08788,2.20856e-08,0.011114,-1.06437e-08,-5.32184e-09
4.14,21.1477,-2.05211,7.18449e-09,0.011114,-1.06437e-08,-5.32184e-09
4.32,24.3662,-2.01634,1.54333e-08,0.011114,2.82224e-22,1.06437e-08
4.5,27.5846,-1.98057,2.20856e-08,0.011114,-1.06437e-08,-5.32184e-09
4.68,30.8031,-1.94479,7.18449e-09,0.011114,-1.06437e-08,-5.32184e-09
4.86,34.0216,-1.90902,2.20856e-08,0.011114,-1.06437e-08,-5.32184e-09
5.04,37.2401,-1.87325,7.18449e-09,0.011114,-1.06437e-08,-5.32184e-09
5.22,40.4586,-1.83748,0,0.011114,-0,0
5.4,43.6771,-1.80171,0,0.011114,-0,0
5.58,46.8956,-1.76594,0,0.011114,-0,0
5.76,50.1141,-1.73016,0,0.011114,-0,0
5.94,53.3326,-1.69439,0,0.011114,-0,0
6.12,56.551,-1.65862,0,0.011114,-0,0
6.3,59.7695,-1.62285,0,0.011114,-0,0
6.48,62.988,-1.58708,0,0.011114,-0,0
6.66,66.2065,-1.5513,0,0.011114,-0,0
6.84,69.425,-1.51553,0,0.011114,-0,0
7.02,72.6435,-1.47976,1.54333e-08,0.011114,1.62179e-22,1.06437e-08
7.2,75.862,-1.44399,1.49012e-08,0.011114,-2.12874e-08,-1.48531e-22
7.38,75.862,-1.44399,1.49012e-08,0.011114,-2.12874e-08,-1.48531e-22
7.56,75.862,-1.44399,1.49012e-08,0.011114,-2.12874e-08,-1.48531e-22
7.74,75.862,-1.44399,1.49012e-08,0.011114,-2.12874e-08,-1.48531e-22
