time,x,y,z,yaw,pitch,roll
0,1.66,-37.3737,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.18,1.66,-34.155,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.36,1.66,-30.9363,7.30124e-09,1.5708,1.31364e-08,5.49188e-09
0.54,1.66,-27.7177,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
0.72,1.66,-24.499,1.51998e-08,1.5708,-2.25087e-14,-1.09838e-08
0.9,1.66,-21.2803,2.22024e-08,1.5708,1.31364e-08,5.49187e-09
1.08,1.66,-18.0616,2.25011e-08,1.5708,-1.31364e-08,-5.49188e-09
1.26,1.66,-14.8429,1.46025e-08,1.5708,2.25087e-14,1.09838e-08
1.44,1.66,-11.6242,1.51998e-08,1.5708,2.62727e-08,-1.09837e-08
1.62,1.66154,-8.40553,4.51202e-16,1.57025,-2.62728e-08,1.22013e-14
1.8,1.67331,-5.18687,0,1.56747,-0,0
1.98,1.69142,-1.96823,0,1.56577,-0,0
2.16,1.70952,1.25041,0,1.56517,-0,0
2.34,1.72763,4.46905,0,1.56517,-0,0
2.52,1.74958,7.68766,0,1.56369,-0,0
2.7,1.77515,10.9062,0,1.56285,-0,0
