time,x,y,z,yaw,pitch,roll
0,43.1256,1.69238,0,3.15271,-0,-0
0.18,39.9071,1.65661,0,3.15271,-0,-0
0.36,36.6886,1.62084,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.54,33.4701,1.58506,7.00256e-09,3.15271,1.31364e-08,1.64756e-08
0.72,30.2516,1.54929,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
0.9,27.0331,1.51352,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.08,23.8147,1.47775,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.26,20.5962,1.44198,2.98023e-08,3.15271,1.5109e-23,-1.96856e-23
1.44,17.3777,1.4062,1.51998e-08,3.15271,-2.25087e-14,-1.09838e-08
1.62,14.1592,1.37043,0,3.15271,-0,-0
1.8,10.9407,1.33466,7.30124e-09,3.15271,-1.31364e-08,5.49187e-09
1.98,7.72212,1.3084,0,3.14883,-0,-0
2.16,4.50346,1.30487,0,3.13995,-0,0
