time,x,y,z,yaw,pitch,roll
0,76.0807,2.05866,7.30124e-09,3.15271,1.31364e-08,5.49188e-09
0.18,72.8622,2.02289,2.98023e-08,3.15271,-2.26085e-23,9.90165e-23
0.36,69.6437,1.98712,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.54,66.4252,1.95134,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.72,63.2068,1.91557,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.9,59.9883,1.8798,7.30124e-09,3.15271,1.31364e-08,5.49188e-09
1.08,56.7698,1.84403,2.98023e-08,3.15271,1.93368e-23,-1.02362e-22
1.26,53.5513,1.80826,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
1.44,50.3328,1.77248,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
1.62,47.1143,1.73671,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
1.8,43.8958,1.70094,0,3.15271,-0,-0
1.98,40.6773,1.66517,0,3.15271,-0,-0
2.16,37.4588,1.6294,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
2.34,34.2404,1.59362,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
2.52,31.0219,1.55785,-2.98023e-08,3.15271,-4.82488e-24,-1.24621e-23
2.7,27.8034,1.52208,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
2.88,24.5849,1.48631,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
3.06,21.3664,1.45054,2.98023e-08,3.15271,8.27129e-24,9.19774e-26
3.24,18.1479,1.41477,2.98023e-08,3.15272,6.70907e-24,-8.19767e-24
3.42,14.9298,1.41275,1.51998e-08,3.0826,-2.25087e-14,-1.09838e-08
3.6,11.7697,1.98211,7.30124e-09,2.84563,1.31364e-08,5.49188e-09
3.78,8.83154,3.27746,0,2.60708,-0,0
3.96,6.2816,5.22923,7.30124e-09,2.36222,-1.31364e-08,5.49187e-09
4.14,4.24542,7.7137,7.59992e-09,2.14959,-1.31364e-08,-5.49187e-09
4.32,2.78804,10.5763,7.59992e-09,1.93374,-1.31364e-08,-5.49187e-09
4.5,1.97758,13.6846,7.30124e-09,1.7179,-1.31364e-08,5.49187e-09
4.68,1.82272,16.8952,1.51998e-08,1.56285,-2.25087e-14,-1.09838e-08
4.86,1.84829,20.1138,0,1.56285,-0,0
5.04,1.87386,23.3324,0,1.56285,-0,0
5.22,1.89942,26.551,-7.30124e-09,1.56285,1.31364e-08,-5.49187e-09
5.4,1.92499,29.7696,-2.22024e-08,1.56285,1.31364e-08,-5.49188e-09
5.58,1.95056,32.9882,-1.51998e-08,1.56285,2.25087e-14,1.09838e-08
5.76,1.97613,36.2068,0,1.56285,-0,0
5.94,2.0017,39.4253,-1.46025e-08,1.56285,-2.25087e-14,-1.09838e-08
6.12,2.02726,42.6439,-2.25011e-08,1.56285,1.31364e-08,5.49188e-09
6.3,2.05283,45.8625,-7.59992e-09,1.56285,1.31364e-08,5.49187e-09
6.48,2.0784,49.0811,-1.46025e-08,1.56285,-2.25087e-14,-1.09838e-08
6.66,2.10397,52.2997,-7.59992e-09,1.56285,1.31364e-08,5.49187e-09
6.84,2.12953,55.5183,0,1.56285,-0,0
7.02,2.1551,58.7369,0,1.56285,-0,0
7.2,2.18067,61.9555,0,1.56285,-0,0
7.38,2.20624,65.174,2.25011e-08,1.56285,1.31364e-08,-5.49187e-09
7.56,2.2318,68.3926,7.59992e-09,1.56285,1.31364e-08,-5.49188e-09
7.74,2.25737,71.6112,0,1.56285,-0,0
7.92,2.28294,74.8298,0,1.56285,-0,0
8.1,2.30851,78.0484,0,1.56285,-0,0
8.28,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
8.46,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
8.64,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
8.82,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9.18,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9.36,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9.54,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9.72,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
9.9,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
10.08,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
10.26,2.32,79.4949,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
