time,x,y,z,yaw,pitch,roll
0,49.0263,1.75796,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.18,45.8078,1.72219,0,3.15271,-0,-0
0.36,42.5893,1.68642,0,3.15271,-0,-0
0.54,39.3708,1.65065,0,3.15271,-0,-0
0.72,36.1523,1.61488,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.9,32.9338,1.5791,-2.98023e-08,3.15271,2.0678e-23,7.46807e-23
1.08,29.7153,1.54333,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.26,26.4968,1.50756,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.44,23.2784,1.47179,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.62,20.0599,1.43602,2.98023e-08,3.15271,-1.93137e-25,1.73697e-23
1.8,16.8414,1.40024,1.51998e-08,3.15272,-2.25087e-14,-1.09838e-08
1.98,13.6313,1.55347,7.59992e-09,2.97982,1.31364e-08,-5.49188e-09
2.16,10.5407,2.42383,0,2.74832,-0,0
