time,x,y,z,yaw,pitch,roll
0,6.8222,9.55584,0.1524,3.22242,0,0
0.18,6.5006,9.54473,0.1524,3.16037,0,0
0.36,6.17875,9.54182,0.1524,3.14939,0,0
0.54,5.85688,9.54065,0.114887,3.14469,0,0
0.72,5.53501,9.54049,0.0719877,3.14241,0,0
0.9,5.21314,9.5409,0.0355142,3.14034,-0,-0
1.08,4.89128,9.5417,-0.001419,3.1391,-0,-0
1.26,4.56941,9.54284,3.72529e-09,3.13817,-0,-0
1.44,4.24754,9.54423,0,3.13744,-0,-0
1.62,3.92568,9.54579,0,3.13685,-0,-0
1.8,3.60382,9.54752,0,3.13639,-0,-0
1.98,3.28195,9.54943,3.72529e-09,3.1361,-0,-0
2.16,2.96009,9.55134,3.72529e-09,3.13581,-0,-0
2.34,2.63823,9.55337,3.72529e-09,3.13554,-0,-0
2.52,2.31636,9.55553,3.72529e-09,3.13528,-0,-0
2.7,1.9945,9.55769,0,3.13502,-0,-0
