time,x,y,z,yaw,pitch,roll
0,75.276,2.04971,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.18,72.0575,2.01394,2.98023e-08,3.15271,-1.1589e-23,6.98426e-25
0.36,68.839,1.97817,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.54,65.6205,1.9424,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.72,62.402,1.90663,2.25011e-08,3.15271,1.31364e-08,-5.49187e-09
0.9,59.1836,1.87086,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
1.08,55.9651,1.83508,2.98023e-08,3.15271,1.57341e-23,-7.59304e-23
1.26,52.7466,1.79931,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
1.44,49.5281,1.76354,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
1.62,46.3096,1.72777,0,3.15271,-0,-0
1.8,43.0911,1.692,0,3.15271,-0,-0
1.98,39.8726,1.65622,0,3.15271,-0,-0
2.16,36.6541,1.62045,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
2.34,33.4356,1.58468,7.00256e-09,3.15271,1.31364e-08,1.64756e-08
2.52,30.2171,1.54891,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
2.7,26.9987,1.51314,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
2.88,23.7802,1.47736,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
3.06,20.5617,1.44159,2.98023e-08,3.15271,-3.95091e-23,-1.78111e-23
3.24,17.3432,1.40582,1.51998e-08,3.15271,-2.25087e-14,-1.09838e-08
3.42,14.1285,1.48569,7.59992e-09,3.03017,1.31364e-08,-5.49188e-09
3.6,11.0076,2.24015,1.46025e-08,2.78539,2.25087e-14,1.09838e-08
3.78,8.15207,3.70843,0,2.54763,-0,0
3.96,5.72345,5.80876,7.59992e-09,2.30602,-1.31364e-08,-5.49187e-09
4.14,3.82271,8.39837,2.25011e-08,2.09562,1.31364e-08,-5.49187e-09
4.32,2.52306,11.336,0,1.87977,-0,0
4.5,1.88118,14.4834,1.46025e-08,1.66393,2.25087e-14,1.09838e-08
4.68,1.82911,17.7,-1.51998e-08,1.56285,2.25087e-14,1.09838e-08
4.86,1.85468,20.9186,0,1.56285,-0,0
5.04,1.88025,24.1372,0,1.56285,-0,0
5.22,1.90582,27.3557,-7.30124e-09,1.56285,1.31364e-08,-5.49187e-09
5.4,1.93138,30.5743,-7.59992e-09,1.56285,1.31364e-08,5.49187e-09
5.58,1.95695,33.7929,0,1.56285,-0,0
5.76,1.98252,37.0115,0,1.56285,-0,0
5.94,2.00809,40.2301,-1.46025e-08,1.56285,-2.25087e-14,-1.09838e-08
6.12,2.03366,43.4487,-2.25011e-08,1.56285,1.31364e-08,5.49188e-09
6.3,2.05922,46.6673,0,1.56285,-0,0
6.48,2.08479,49.8858,-2.25011e-08,1.56285,1.31364e-08,5.49188e-09
6.66,2.11036,53.1044,-7.59992e-09,1.56285,1.31364e-08,5.49187e-09
6.84,2.13593,56.323,0,1.56285,-0,0
7.02,2.16149,59.5416,0,1.56285,-0,0
7.2,2.18706,62.7602,1.46025e-08,1.56285,2.25087e-14,1.09838e-08
7.38,2.21263,65.9788,2.25011e-08,1.56285,1.31364e-08,-5.49187e-09
7.56,2.2382,69.1974,7.59992e-09,1.56285,1.31364e-08,-5.49188e-09
7.74,2.26377,72.4159,0,1.56285,-0,0
