time,x,y,z,yaw,pitch,roll
0,48.7833,1.75526,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.18,45.5648,1.71949,0,3.15271,-0,-0
0.36,42.3463,1.68372,0,3.15271,-0,-0
0.54,39.1278,1.64795,0,3.15271,-0,-0
0.72,35.9093,1.61217,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.9,32.6908,1.5764,-2.98023e-08,3.15271,5.15533e-24,1.31587e-22
1.08,29.4723,1.54063,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.26,26.2538,1.50486,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.44,23.0353,1.46909,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.62,19.8169,1.43331,2.98023e-08,3.15271,5.28454e-24,-2.88944e-23
1.8,16.5984,1.39754,2.25011e-08,3.15271,1.31364e-08,-5.49187e-09
1.98,13.3799,1.36177,1.51998e-08,3.15271,-2.25087e-14,-1.09838e-08
2.16,10.1614,1.3277,1.46025e-08,3.15222,2.25087e-14,1.09838e-08
2.34,6.94277,1.30471,0,3.14859,-0,-0
2.52,3.72409,1.3066,0,3.13938,-0,0
2.7,0.505439,1.31921,0,3.13493,-0,0
2.88,-2.71318,1.34065,0,3.13553,-0,0
3.06,-5.9318,1.36048,0,3.13678,-0,0
3.24,-9.15047,1.37,-7.8986e-09,3.14001,-1.31363e-08,1.64756e-08
3.42,-12.3692,1.37,1.49012e-08,3.14159,-2.62728e-08,2.30859e-15
3.6,-15.5878,1.37,2.98023e-08,3.14159,1.48893e-23,-1.40621e-23
3.78,-18.8065,1.37,-7.30124e-09,3.14159,1.31364e-08,-5.49187e-09
3.96,-22.0252,1.37,-2.22024e-08,3.14159,1.31364e-08,-5.49188e-09
4.14,-25.2439,1.37,-1.51998e-08,3.14159,2.25087e-14,1.09838e-08
4.32,-28.4626,1.37,0,3.14159,-0,-0
4.5,-31.6813,1.37,0,3.14159,-0,-0
4.68,-34.9,1.37,0,3.14159,-0,-0
4.86,-38.1187,1.37,0,3.14159,-0,-0
5.04,-41.3374,1.37,0,3.14159,-0,-0
5.22,-44.556,1.37,-7.30124e-09,3.14159,1.31364e-08,-5.49187e-09
5.4,-47.7747,1.37,-1.51998e-08,3.14159,2.25087e-14,1.09838e-08
5.58,-50.9934,1.37,0,3.14159,-0,-0
5.76,-54.2121,1.37,0,3.14159,-0,-0
5.94,-57.4308,1.37,0,3.14159,-0,-0
6.12,-60.6495,1.37,0,3.14159,-0,-0
6.3,-63.8682,1.37,0,3.14159,-0,-0
6.48,-67.0869,1.37,-7.30124e-09,3.14159,1.31364e-08,-5.49187e-09
6.66,-70.3055,1.37,-2.22024e-08,3.14159,1.31364e-08,-5.49188e-09
6.84,-73.5242,1.37,-7.59992e-09,3.14159,1.31364e-08,5.49187e-09
7.02,-76.7429,1.37,0,3.14159,-0,-0
7.2,-79.9616,1.37,0,3.14159,-0,-0
7.38,-80.0914,1.37,0,3.14159,-0,-0
7.56,-80.0914,1.37,0,3.14159,-0,-0
7.74,-80.0914,1.37,0,3.14159,-0,-0
7.92,-80.0914,1.37,0,3.14159,-0,-0
8.1,-80.0914,1.37,0,3.14159,-0,-0
8.28,-80.0914,1.37,0,3.14159,-0,-0
8.46,-80.0914,1.37,0,3.14159,-0,-0
8.64,-80.0914,1.37,0,3.14159,-0,-0
8.82,-80.0914,1.37,0,3.14159,-0,-0
9,-80.0914,1.37,0,3.14159,-0,-0
9.18,-80.0914,1.37,0,3.14159,-0,-0
9.36,-80.0914,1.37,0,3.14159,-0,-0
9.54,-80.0914,1.37,0,3.14159,-0,-0
9.72,-80.0914,1.37,0,3.14159,-0,-0
9.9,-80.0914,1.37,0,3.14159,-0,-0
10.08,-80.0914,1.37,0,3.14159,-0,-0
10.26,-80.0914,1.37,0,3.14159,-0,-0
10.44,-80.0914,1.37,0,3.14159,-0,-0
10.62,-80.0914,1.37,0,3.14159,-0,-0
10.8,-80.0914,1.37,0,3.14159,-0,-0
