time,x,y,z,yaw,pitch,roll
0,76.0807,2.05866,7.30124e-09,3.15271,1.31364e-08,5.49188e-09
0.02,75.7231,2.05468,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.04,75.3655,2.05071,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.06,75.0079,2.04673,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.08,74.6503,2.04276,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.1,74.2927,2.03879,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.12,73.935,2.03481,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.14,73.5774,2.03084,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.16,73.2198,2.02686,2.22024e-08,3.15271,1.31364e-08,5.49187e-09
0.18,72.8622,2.02289,2.98023e-08,3.15271,-2.26085e-23,9.90165e-23
0.2,72.5046,2.01891,2.98023e-08,3.15271,-1.65426e-23,-1.83863e-25
0.22,72.147,2.01494,2.98023e-08,3.15271,1.92552e-25,1.31532e-22
0.24,71.7894,2.01096,2.98023e-08,3.15271,4.96278e-24,5.51588e-26
0.26,71.4318,2.00699,2.98023e-08,3.15271,1.25354e-23,6.30089e-23
0.28,71.0742,2.00301,2.98023e-08,3.15271,6.38771e-24,-1.2815e-22
0.3,70.7166,1.99904,2.98023e-08,3.15271,2.00988e-23,1.2679e-22
0.32,70.359,1.99506,9.89223e-16,3.15271,-2.62728e-08,-7.58412e-15
0.34,70.0013,1.99109,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.36,69.6437,1.98712,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.38,69.2861,1.98314,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.4,68.9285,1.97917,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.42,68.5709,1.97519,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.44,68.2133,1.97122,1.51998e-08,3.15271,-2.62728e-08,-1.09838e-08
0.46,67.8557,1.96724,5.97358e-10,3.15271,-4.50175e-14,-2.19675e-08
0.48,67.4981,1.96327,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.5,67.1405,1.95929,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.52,66.7829,1.95532,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.54,66.4252,1.95134,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.56,66.0676,1.94737,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.58,65.71,1.94339,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.6,65.3524,1.93942,-1.46025e-08,3.15271,-2.62728e-08,-1.09837e-08
0.62,64.9948,1.93544,-7.8986e-09,3.15271,1.31364e-08,1.64756e-08
0.64,64.6372,1.93147,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.66,64.2796,1.9275,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.68,63.922,1.92352,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.7,63.5644,1.91955,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.72,63.2068,1.91557,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.74,62.8491,1.9116,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
