time,x,y,z,yaw,pitch,roll
0,9.56272,5.66172,0.1524,-1.55642,-0,0
0.18,9.56545,5.33987,0.110546,-1.53939,-0,0
0.36,9.56714,5.018,0.0334938,-1.54303,-0,0
0.54,9.56861,4.69614,-0.00312244,-1.5662,-0,0
0.72,9.56995,4.37427,-0.000526533,-1.56663,-0,0
0.9,9.57122,4.0524,3.72529e-09,-1.56685,-0,0
1.08,9.57244,3.73054,-3.72529e-09,-1.56701,-0,0
1.26,9.57361,3.40867,0,-1.56713,-0,0
1.44,9.57475,3.0868,3.72529e-09,-1.56723,-0,0
1.62,9.57587,2.76494,7.45058e-09,-1.5673,-0,0
1.8,9.57697,2.44307,7.45058e-09,-1.56736,-0,0
1.98,9.57805,2.1212,3.72529e-09,-1.5674,-0,0
2.16,9.57913,1.79934,0,-1.56744,-0,0
