time,x,y,z,yaw,pitch,roll
0,9.56272,5.66172,0.1524,-1.55642,-0,0
0.02,9.56323,5.62596,0.1524,-1.55642,-0,0
0.04,9.56365,5.5902,0.1524,-1.55742,-0,0
0.06,9.56396,5.55444,0.134788,-1.55449,-0,0
0.08,9.56427,5.51868,0.11123,-1.53541,-0,0
0.1,9.56453,5.48292,0.111442,-1.53659,-0,0
0.12,9.56477,5.44715,0.111654,-1.53736,-0,0
0.14,9.56501,5.41139,0.111866,-1.53813,-0,0
0.16,9.56524,5.37563,0.111615,-1.53893,-0,0
0.18,9.56545,5.33987,0.110546,-1.53939,-0,0
0.2,9.56565,5.3041,0.112504,-1.53989,-0,0
0.22,9.56585,5.26834,0.112716,-1.54034,-0,0
0.24,9.56605,5.23258,0.112929,-1.5408,-0,0
0.26,9.56625,5.19682,0.0772666,-1.56191,-0,0
0.28,9.56644,5.16105,0.0540797,-1.55072,-0,0
0.3,9.56661,5.12529,0.0315457,-1.54197,-0,0
0.32,9.56679,5.08953,0.0321923,-1.54232,-0,0
0.34,9.56697,5.05376,0.0328431,-1.54268,-0,0
0.36,9.56714,5.018,0.0334938,-1.54303,-0,0
0.38,9.56732,4.98224,0.0340126,-1.54323,-0,0
0.4,9.56749,4.94648,0.0344463,-1.54331,-0,0
0.42,9.56765,4.91071,0.0348799,-1.54337,-0,0
0.44,9.56781,4.87495,0.0353136,-1.54343,-0,0
0.46,9.56797,4.83919,0.0357495,-1.54349,-0,0
0.48,9.56813,4.80343,-0.00268736,-1.56612,-0,0
0.5,9.56829,4.76766,-0.00443986,-1.56605,-0,0
0.52,9.56846,4.7319,-0.00378137,-1.56613,-0,0
0.54,9.56861,4.69614,-0.00312244,-1.5662,-0,0
0.56,9.56876,4.66037,-0.00259549,-1.56626,-0,0
0.58,9.56891,4.62461,-0.00215752,-1.56631,-0,0
0.6,9.56906,4.58885,-0.0018614,-1.56636,-0,0
0.62,9.56921,4.55309,-0.00164069,-1.56641,-0,0
0.64,9.56936,4.51732,-0.00141999,-1.56646,-0,0
0.66,9.56951,4.48156,-0.00119928,-1.56651,-0,0
0.68,9.56966,4.4458,-0.000976179,-1.56656,-0,0
0.7,9.56981,4.41003,-0.000751354,-1.5666,-0,0
0.72,9.56995,4.37427,-0.000526533,-1.56663,-0,0
0.74,9.57009,4.33851,-0.0003017,-1.56666,-0,0
0.76,9.57024,4.30274,-7.68751e-05,-1.56668,-0,0
0.78,9.57038,4.26698,-3.72529e-09,-1.56671,-0,0
0.8,9.57052,4.23122,-3.72529e-09,-1.56674,-0,0
0.82,9.57066,4.19546,-3.72529e-09,-1.56676,-0,0
0.84,9.5708,4.15969,-3.72529e-09,-1.56679,-0,0
