time,x,y,z,yaw,pitch,roll
0,-9.72665,6.47213,0.1524,4.64212,0,0
0.02,-9.72917,6.43645,0.1524,4.64212,0,0
0.04,-9.73168,6.40078,0.1524,4.64212,0,0
0.06,-9.73419,6.3651,0.1524,4.64212,0,0
0.08,-9.7367,6.32943,0.1524,4.64212,0,0
0.1,-9.73921,6.29375,0.1524,4.64212,0,0
0.12,-9.74172,6.25808,0.1524,4.64212,0,0
0.14,-9.74423,6.2224,0.1524,4.64212,0,0
0.16,-9.74674,6.18673,0.1524,4.64212,0,0
0.18,-9.74925,6.15105,0.1524,4.64212,0,0
0.2,-9.75177,6.11538,0.1524,4.64212,0,0
0.22,-9.75428,6.0797,0.1524,4.64212,0,0
0.24,-9.75679,6.04403,0.1524,4.64212,0,0
0.26,-9.7593,6.00835,0.1524,4.64212,0,0
0.28,-9.76181,5.97268,0.1524,4.64212,0,0
0.3,-9.76432,5.937,0.1524,4.64212,0,0
0.32,-9.76683,5.90133,0.1524,4.64212,0,0
0.34,-9.76934,5.86565,0.1524,4.64212,0,0
0.36,-9.77185,5.82998,0.1524,4.64212,0,0
0.38,-9.77437,5.7943,0.1524,4.64212,0,0
0.4,-9.77688,5.75863,0.123152,4.62909,0,0
0.42,-9.77939,5.72295,0.111275,4.61702,0,0
0.44,-9.7819,5.68728,0.11148,4.61726,0,0
0.46,-9.78441,5.6516,0.111684,4.61749,0,0
0.48,-9.78692,5.61593,0.11189,4.61773,0,0
0.5,-9.78943,5.58025,0.112099,4.61797,0,0
0.52,-9.79194,5.54458,0.112307,4.61821,0,0
0.54,-9.79445,5.5089,0.112516,4.61844,0,0
0.56,-9.79697,5.47323,0.112725,4.61868,0,0
0.58,-9.79948,5.43755,0.112934,4.61891,0,0
0.6,-9.80199,5.40188,0.113143,4.61914,0,0
0.62,-9.80449,5.3662,0.0540711,4.61913,0,0
0.64,-9.80698,5.33053,0.0313235,4.61964,0,0
0.66,-9.80947,5.29485,0.0319498,4.61988,0,0
0.68,-9.81197,5.25917,0.0325789,4.62013,0,0
0.7,-9.81446,5.2235,0.0332113,4.62037,0,0
0.72,-9.81695,5.18782,0.0337507,4.62052,0,0
0.74,-9.81944,5.15214,0.0341767,4.62053,0,0
0.76,-9.82193,5.11647,0.0346028,4.62055,0,0
0.78,-9.82443,5.08079,0.0350289,4.62057,0,0
0.8,-9.82692,5.04512,0.035455,4.62058,0,0
0.82,-9.82941,5.00944,0.0358811,4.6206,0,0
0.84,-9.8319,4.97376,0.00596174,4.64139,0,0
0.86,-9.83439,4.93809,-0.00437748,4.64221,0,0
0.88,-9.83689,4.90241,-0.0037382,4.64225,0,0
0.9,-9.83938,4.86673,-0.00309591,4.64228,0,0
0.92,-9.84187,4.83106,-0.00246693,4.64232,0,0
0.94,-9.84436,4.79538,-0.00214689,4.64235,0,0
0.96,-9.84685,4.7597,-0.00192962,4.64238,0,0
0.98,-9.84935,4.72403,-0.00171236,4.64242,0,0
1,-9.85184,4.68835,-0.0014951,4.64245,0,0
1.02,-9.85433,4.65268,-0.00127784,4.64247,0,0
1.04,-9.85682,4.617,-0.00106058,4.6425,0,0
1.06,-9.85931,4.58132,-0.000843324,4.64253,0,0
1.08,-9.86181,4.54565,-0.000626061,4.64255,0,0
1.1,-9.8643,4.50997,-0.000408806,4.64257,0,0
1.12,-9.86679,4.47429,-0.000191547,4.64259,0,0
1.14,-9.86928,4.43862,3.72529e-09,4.64261,0,0
1.16,-9.87177,4.40294,3.72529e-09,4.64263,0,0
1.18,-9.87427,4.36727,0,4.64265,0,0
1.2,-9.87674,4.33159,3.72529e-09,4.64267,0,0
1.22,-9.87921,4.29591,7.45058e-09,4.64269,0,0
1.24,-9.88169,4.26023,7.45058e-09,4.64271,0,0
1.26,-9.88416,4.22456,7.45058e-09,4.64273,0,0
1.28,-9.88663,4.18888,3.72529e-09,4.64275,0,0
1.3,-9.88911,4.1532,-2.64698e-23,4.64277,0,0
1.32,-9.89158,4.11752,0,4.64279,0,0
1.34,-9.89405,4.08185,7.45058e-09,4.64281,0,0
1.36,-9.89652,4.04617,3.72529e-09,4.64283,0,0
1.38,-9.899,4.01049,3.72529e-09,4.64285,0,0
1.4,-9.90147,3.97481,7.45058e-09,4.64287,0,0
1.42,-9.90394,3.93913,3.72529e-09,4.64289,0,0
1.44,-9.90641,3.90346,0,4.64291,0,0
1.46,-9.90889,3.86778,7.45058e-09,4.64293,0,0
1.48,-9.91136,3.8321,7.45058e-09,4.64295,0,0
1.5,-9.91383,3.79642,7.45058e-09,4.64297,0,0
1.52,-9.9163,3.76075,7.45058e-09,4.64299,0,0
1.54,-9.91878,3.72507,3.72529e-09,4.64301,0,0
1.56,-9.92125,3.68939,0,4.64303,0,0
1.58,-9.92372,3.65371,3.72529e-09,4.64305,0,0
1.6,-9.9262,3.61804,3.72529e-09,4.64307,0,0
1.62,-9.92867,3.58236,7.45058e-09,4.64309,0,0
1.64,-9.93114,3.54668,3.72529e-09,4.64311,0,0
1.66,-9.93361,3.511,3.72529e-09,4.64313,0,0
1.68,-9.93609,3.47533,0,4.64315,0,0
1.7,-9.93856,3.43965,3.72529e-09,4.64317,0,0
1.72,-9.94103,3.40397,1.11759e-08,4.64319,0,0
1.74,-9.94349,3.36829,7.45058e-09,4.64321,0,0
1.76,-9.94594,3.33261,1.11759e-08,4.64323,0,0
1.78,-9.94839,3.29693,3.72529e-09,4.64325,0,0
1.8,-9.95085,3.26125,3.72529e-09,4.64328,0,0
1.82,-9.9533,3.22558,7.45058e-09,4.6433,0,0
1.84,-9.95575,3.1899,3.72529e-09,4.64332,0,0
1.86,-9.95821,3.15422,3.72529e-09,4.64334,0,0
1.88,-9.96066,3.11854,0,4.64336,0,0
1.9,-9.96311,3.08286,2.64698e-23,4.64338,0,0
1.92,-9.96557,3.04718,7.45058e-09,4.6434,0,0
1.94,-9.96802,3.0115,0,4.64342,0,0
1.96,-9.97048,2.97582,3.72529e-09,4.64344,0,0
1.98,-9.97293,2.94014,0,4.64347,0,0
2,-9.97538,2.90447,0,4.64349,0,0
2.02,-9.97784,2.86879,7.45058e-09,4.64351,0,0
2.04,-9.98029,2.83311,0,4.64353,0,0
2.06,-9.98274,2.79743,0,4.64355,0,0
2.08,-9.9852,2.76175,0,4.64357,0,0
2.1,-9.98765,2.72607,3.72529e-09,4.64359,0,0
2.12,-9.9901,2.69039,-3.72529e-09,4.64361,0,0
2.14,-9.99256,2.65471,0,4.64363,0,0
2.16,-9.99501,2.61903,0,4.64366,0,0
2.18,-9.99746,2.58335,0,4.64368,0,0
2.2,-9.99992,2.54768,-3.72529e-09,4.6437,0,0
2.22,-10.0024,2.512,3.72529e-09,4.64372,0,0
2.24,-10.0048,2.47632,3.72529e-09,4.64374,0,0
2.26,-10.0073,2.44064,3.72529e-09,4.64376,0,0
2.28,-10.0097,2.40496,3.72529e-09,4.64378,0,0
2.3,-10.0121,2.36928,3.72529e-09,4.64381,0,0
2.32,-10.0146,2.3336,-3.72529e-09,4.64383,0,0
2.34,-10.017,2.29792,0,4.64385,0,0
2.36,-10.0194,2.26224,0,4.64387,0,0
2.38,-10.0219,2.22656,0,4.64389,0,0
2.4,-10.0243,2.19088,-3.72529e-09,4.64391,0,0
2.42,-10.0267,2.1552,3.72529e-09,4.64393,0,0
2.44,-10.0292,2.11952,3.72529e-09,4.64396,0,0
2.46,-10.0316,2.08384,3.72529e-09,4.64398,0,0
2.48,-10.034,2.04816,7.45058e-09,4.644,0,0
2.5,-10.0365,2.01247,7.45058e-09,4.64402,0,0
2.52,-10.0389,1.97679,0,4.64404,0,0
2.54,-10.0413,1.94111,3.72529e-09,4.64406,0,0
2.56,-10.0438,1.90543,0,4.64409,0,0
2.58,-10.0462,1.86975,3.72529e-09,4.64411,0,0
2.6,-10.0486,1.83407,-3.72529e-09,4.64413,0,0
2.62,-10.0511,1.79839,-3.72529e-09,4.64415,0,0
2.64,-10.0535,1.76271,0,4.64417,0,0
2.66,-10.0559,1.72703,0,4.64419,0,0
2.68,-10.0584,1.69135,-3.72529e-09,4.64421,0,0
2.7,-10.0608,1.65567,0,4.64424,0,0
2.72,-10.0632,1.61999,1.32349e-23,4.64426,0,0
2.74,-10.0657,1.58431,3.72529e-09,4.64428,0,0
2.76,-10.0681,1.54863,3.72529e-09,4.6443,0,0
2.78,-10.0705,1.51295,3.72529e-09,4.64432,0,0
2.8,-10.0729,1.47727,3.72529e-09,4.64434,0,0
2.82,-10.0753,1.44159,-2.64698e-23,4.64436,0,0
2.84,-10.0778,1.4059,3.72529e-09,4.64438,0,0
2.86,-10.0802,1.37022,3.72529e-09,4.64441,0,0
2.88,-10.0826,1.33454,0,4.64443,0,0
2.9,-10.085,1.29886,3.72529e-09,4.64445,0,0
2.92,-10.0874,1.26318,5.29396e-23,4.64447,0,0
2.94,-10.0898,1.2275,-9.92617e-24,4.64449,0,0
2.96,-10.0923,1.19182,3.72529e-09,4.64451,0,0
2.98,-10.0947,1.15613,3.72529e-09,4.64453,0,0
3,-10.0971,1.12045,3.72529e-09,4.64455,0,0
3.02,-10.0995,1.08477,3.72529e-09,4.64457,0,0
3.04,-10.1019,1.04909,7.45058e-09,4.6446,0,0
3.06,-10.1043,1.01341,1.11759e-08,4.64462,0,0
3.08,-10.1068,0.977727,7.45058e-09,4.64464,0,0
3.1,-10.1092,0.942046,3.72529e-09,4.64466,0,0
3.12,-10.1116,0.906364,3.72529e-09,4.64468,0,0
3.14,-10.114,0.870683,0,4.6447,0,0
3.16,-10.1164,0.835001,0,4.64472,0,0
3.18,-10.1188,0.79932,3.72529e-09,4.64474,0,0
