time,x,y,z,yaw,pitch,roll
0,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.02,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.04,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.06,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.08,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.1,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.12,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.14,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.16,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.18,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.2,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.22,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.24,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.26,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.28,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.3,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.32,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.34,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.36,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.38,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.4,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.42,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.44,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.46,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.48,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.5,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.52,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.54,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.56,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.58,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.6,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.62,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.64,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.66,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.68,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.7,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.72,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.74,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.76,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.78,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.8,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.82,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.84,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.86,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.88,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.9,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.92,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.94,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.96,-46.8817,6.91437,0.1524,-1.56863,-0,0
0.98,-46.8817,6.91437,0.1524,-1.56863,-0,0
1,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.02,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.04,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.06,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.08,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.1,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.12,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.14,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.16,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.18,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.2,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.22,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.24,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.26,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.28,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.3,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.32,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.34,-46.8817,6.91437,0.1524,-1.56863,-0,0
1.36,-46.8817,6.91437,0.1524,-1.56863,-0,0
