time,x,y,z,yaw,pitch,roll
0,73.6193,-0.961338,0,-0.00254885,0,0
0.02,73.977,-0.962249,0,-0.00254885,0,0
0.04,74.3346,-0.963161,0,-0.00254885,0,0
0.06,74.6922,-0.964073,0,-0.00254885,0,0
0.08,75.0499,-0.964984,0,-0.00254885,0,0
0.1,75.4075,-0.965896,0,-0.00254885,0,0
0.12,75.7651,-0.966807,0,-0.00254885,0,0
0.14,76.1228,-0.967719,0,-0.00254885,0,0
0.16,76.4804,-0.96863,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.18,76.838,-0.969542,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.2,77.1957,-0.970453,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.22,77.5533,-0.971365,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.24,77.9109,-0.972276,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.26,78.2685,-0.973188,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.28,78.6262,-0.9741,-1.53862e-08,-0.00254885,-5.54421e-15,-1.23178e-08
0.3,78.9838,-0.975011,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.32,79.3414,-0.975923,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.34,79.6991,-0.976834,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.36,80.0567,-0.977746,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.38,80.4143,-0.978657,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.4,80.772,-0.979569,-7.69403e-09,-0.00254885,-1.25027e-08,-6.1589e-09
0.42,81.1296,-0.98048,0,-0.00254885,0,0
0.44,81.4872,-0.981392,0,-0.00254885,0,0
0.46,81.8449,-0.982304,0,-0.00254885,0,0
0.48,82.2025,-0.983215,0,-0.00254885,0,0
0.5,82.5601,-0.984127,0,-0.00254885,0,0
0.52,82.9177,-0.985038,0,-0.00254885,0,0
0.54,83.2754,-0.98595,0,-0.00254885,0,0
0.56,83.633,-0.986861,0,-0.00254885,0,0
0.58,83.9906,-0.987773,0,-0.00254885,0,0
0.6,84.3483,-0.988684,0,-0.00254885,0,0
0.62,84.7059,-0.989596,0,-0.00254885,0,0
0.64,85.0635,-0.990507,0,-0.00254885,0,0
0.66,85.4212,-0.991419,0,-0.00254885,0,0
0.68,85.7788,-0.992331,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.7,86.1364,-0.993242,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.72,86.4941,-0.994154,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.74,86.8517,-0.995065,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.76,87.2093,-0.995977,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.78,87.5669,-0.996888,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.8,87.9246,-0.9978,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.82,88.2822,-0.998711,1.53862e-08,-0.00254885,5.54421e-15,1.23178e-08
0.84,88.6398,-0.999623,1.53862e-08,-0.00254885,5.54421e-15,1.23178e-08
0.86,88.9975,-1.00053,1.53862e-08,-0.00254885,5.5442e-15,1.23178e-08
0.88,89.3551,-1.00145,1.53862e-08,-0.00254885,5.54421e-15,1.23178e-08
0.9,89.7127,-1.00236,1.53862e-08,-0.00254885,5.54421e-15,1.23178e-08
0.92,90.0704,-1.00327,7.69218e-09,-0.00254885,-1.25027e-08,6.1589e-09
0.94,90.428,-1.00418,7.69403e-09,-0.00254885,1.25027e-08,6.1589e-09
0.96,90.7856,-1.00509,0,-0.00254885,0,0
0.98,91.1433,-1.006,0,-0.00254885,0,0
1,91.5009,-1.00692,0,-0.00254885,0,0
1.02,91.8585,-1.00783,0,-0.00254885,0,0
1.04,92.2161,-1.00874,0,-0.00254885,0,0
1.06,92.5738,-1.00965,0,-0.00254885,0,0
1.08,92.9314,-1.01056,7.20898e-09,-0.00254885,1.25027e-08,-6.1589e-09
1.1,93.289,-1.01147,0,-0.00254885,0,0
1.12,93.6467,-1.01238,0,-0.00254885,0,0
1.14,93.9036,-1.01304,0,-0.00254885,0,0
1.16,93.9036,-1.01304,0,-0.00254885,0,0
1.18,93.9036,-1.01304,0,-0.00254885,0,0
1.2,93.9036,-1.01304,0,-0.00254885,0,0
1.22,93.9036,-1.01304,0,-0.00254885,0,0
1.24,93.9036,-1.01304,0,-0.00254885,0,0
1.26,93.9036,-1.01304,0,-0.00254885,0,0
1.28,93.9036,-1.01304,0,-0.00254885,0,0
1.3,93.9036,-1.01304,0,-0.00254885,0,0
1.32,93.9036,-1.01304,0,-0.00254885,0,0
1.34,93.9036,-1.01304,0,-0.00254885,0,0
1.36,93.9036,-1.01304,0,-0.00254885,0,0
1.38,93.9036,-1.01304,0,-0.00254885,0,0
1.4,93.9036,-1.01304,0,-0.00254885,0,0
1.42,93.9036,-1.01304,0,-0.00254885,0,0
1.44,93.9036,-1.01304,0,-0.00254885,0,0
1.46,93.9036,-1.01304,0,-0.00254885,0,0
1.48,93.9036,-1.01304,0,-0.00254885,0,0
