time,x,y,z,yaw,pitch,roll
0,74.4888,2.53646,-1.51998e-08,3.13904,2.62728e-08,1.09838e-08
0.02,74.2888,2.53697,-5.97358e-10,3.13904,4.50175e-14,2.19675e-08
0.04,74.0888,2.53748,-5.97358e-10,3.13904,4.50175e-14,2.19675e-08
0.06,73.8888,2.53799,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.08,73.6888,2.5385,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.1,73.4888,2.53901,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.12,73.2888,2.53952,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.14,73.0888,2.54003,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.16,72.8888,2.54054,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.18,72.6888,2.54105,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.2,72.4888,2.54155,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.22,72.2888,2.54206,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.24,72.0888,2.54257,1.46025e-08,3.13904,2.62728e-08,1.09837e-08
0.26,71.8888,2.54308,-4.51202e-16,3.13904,2.62728e-08,-1.22013e-14
0.28,71.6888,2.54359,-4.51202e-16,3.13904,2.62728e-08,-1.22013e-14
0.3,71.4888,2.5441,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.32,71.2888,2.54461,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.34,71.0889,2.54512,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.36,70.8889,2.54563,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.38,70.6889,2.54614,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.4,70.4889,2.54665,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.42,70.2889,2.54716,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.44,70.0889,2.54767,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.46,69.8889,2.54818,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.48,69.6889,2.54869,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.5,69.4889,2.5492,1.51998e-08,3.13904,-2.25087e-14,-1.09838e-08
0.52,69.2889,2.54971,0,3.13904,-0,0
0.54,69.0889,2.55022,0,3.13904,-0,0
0.56,68.8889,2.55073,0,3.13904,-0,0
0.58,68.6889,2.55124,0,3.13904,-0,0
0.6,68.4889,2.55175,0,3.13904,-0,0
0.62,68.2889,2.55226,0,3.13904,-0,0
0.64,68.0889,2.55277,0,3.13904,-0,0
0.66,67.8889,2.55328,0,3.13904,-0,0
0.68,67.6889,2.55379,0,3.13904,-0,0
0.7,67.4889,2.5543,0,3.13904,-0,0
0.72,67.2889,2.55481,0,3.13904,-0,0
0.74,67.0889,2.55532,0,3.13904,-0,0
0.76,66.8889,2.55583,0,3.13904,-0,0
0.78,66.6889,2.55634,0,3.13904,-0,0
0.8,66.4889,2.55685,0,3.13904,-0,0
0.82,66.2889,2.55736,0,3.13904,-0,0
0.84,66.0889,2.55787,0,3.13904,-0,0
0.86,65.8889,2.55838,0,3.13904,-0,0
0.88,65.6889,2.55889,0,3.13904,-0,0
0.9,65.4889,2.5594,0,3.13904,-0,0
0.92,65.2889,2.55991,0,3.13904,-0,0
0.94,65.0889,2.56042,0,3.13904,-0,0
0.96,64.8889,2.56093,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
0.98,64.6889,2.56144,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1,64.4889,2.56195,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.02,64.2889,2.56246,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.04,64.0889,2.56297,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.06,63.8889,2.56347,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.08,63.6889,2.56398,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.1,63.4889,2.56449,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.12,63.2889,2.565,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.14,63.0889,2.56551,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.16,62.8889,2.56602,-1.46025e-08,3.13904,-2.25087e-14,-1.09838e-08
1.18,62.6889,2.56653,-7.30124e-09,3.13904,-1.31364e-08,-5.49188e-09
1.2,62.4889,2.56704,-7.30124e-09,3.13904,-1.31364e-08,-5.49188e-09
1.22,62.2889,2.56755,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.24,62.0889,2.56806,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.26,61.8889,2.56857,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.28,61.6889,2.56908,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.3,61.4889,2.56959,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.32,61.2889,2.5701,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.34,61.0889,2.57061,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.36,60.8889,2.57112,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.38,60.6889,2.57163,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.4,60.4889,2.57214,-2.25011e-08,3.13904,-1.31364e-08,5.49187e-09
1.42,60.2889,2.57265,-1.51998e-08,3.13904,2.25087e-14,1.09838e-08
1.44,60.0889,2.57316,-1.51998e-08,3.13904,2.25087e-14,1.09838e-08
1.46,59.8889,2.57367,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.48,59.6889,2.57418,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.5,59.4889,2.57469,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.52,59.2889,2.5752,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.54,59.0889,2.57571,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.56,58.8889,2.57622,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.58,58.6889,2.57673,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.6,58.4889,2.57724,-7.59992e-09,3.13904,-1.31364e-08,5.49188e-09
1.62,58.2889,2.57775,-1.49012e-08,3.13904,-2.62728e-08,2.30859e-15
1.64,58.0889,2.57826,7.00256e-09,3.13904,-1.31363e-08,1.64756e-08
1.66,57.8889,2.57877,7.00256e-09,3.13904,-1.31363e-08,1.64756e-08
1.68,57.6889,2.57928,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.7,57.4889,2.57979,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.72,57.2889,2.5803,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.74,57.0889,2.58081,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.76,56.8889,2.58132,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.78,56.6889,2.58183,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.8,56.4889,2.58234,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.82,56.2889,2.58285,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.84,56.0889,2.58336,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.86,55.8889,2.58387,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.88,55.6889,2.58438,1.46025e-08,3.13904,2.25087e-14,1.09838e-08
1.9,55.4889,2.58489,-7.8986e-09,3.13904,1.31364e-08,1.64756e-08
1.92,55.2889,2.5854,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
1.94,55.0889,2.5859,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
1.96,54.8889,2.58641,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
1.98,54.6889,2.58692,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
2,54.4889,2.58743,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
2.02,54.2889,2.58794,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
2.04,54.0889,2.58845,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
2.06,53.8889,2.58896,2.25011e-08,3.13904,1.31364e-08,-5.49187e-09
